Year,Month,CPC,HS Code,HS Description,Destination,Quantity,Sup. Unit,Gross Wt. (Kg),Net.Wt. (Kg),FOB Value (ETB),FOBValueUSD,Total tax (ETB),Total tax (USD)
2017,7,1000 100,46019400,#NAME?,Thailand,,,5.00 ,3,650.34,26.85,0,0
2017,8,1000 100,44201010,#NAME?,Israel,,,3.00 ,3,"1,826.36",75.42,0,0
2017,12,3052 505,42050000,"Articles of leather orof composition leather, nes",Sweden,48,UN,5.00 ,3,"25,294.30",1044.49,0,0
2017,12,3052 505,42022110,#NAME?,Canada,30,UN,4.00 ,3,"15,238.85",629.27,0,0
2017,6,1000 100,21033000,"Mustard flour and meal, prepared mustard",United States,,,3.19 ,3,783.2,32.34,0,0
2017,1,1000 100,71039100,#NAME?,Hong Kong,3,KT,3.60 ,3.06,"615,078.88",25398.75,0,0
2017,5,1000 100,5119990,"---OTHER ANIMAL PRODUCTS ,DEAD ANIMAL OF CHAP .1",Hong Kong,,,4.70 ,3.2,"517,870.08",21384.66,0,0
2017,6,1000 100,71031000,#NAME?,Thailand,,,4.39 ,3.24,"722,211.93",29822.64,0,0
2017,5,1000 100,9012100,"Roasted coffee, not decaffeinated",Canada,,,3.44 ,3.25,"3,896.97",160.92,0,0
2017,6,1000 100,71031000,#NAME?,Mexico,,,4.10 ,3.4,"516,842.03",21342.2,0,0
2017,9,1000 100,71179010,---IMITATION JEWELERY ;HAND MADE;NES,Canada,,,3.87 ,3.44,"37,228.84",1537.31,0,0
2017,3,1000 100,84879000,#NAME?,South Sudan,7,UN,3.50 ,3.5,"2,405.91",99.35,0,0
2017,5,1000 100,71039100,#NAME?,India,3,KT,4.70 ,3.5,"722,220.72",29823,0,0
2017,6,1000 100,71031000,#NAME?,Cambodia,,,4.35 ,3.5,"418,253.40",17271.14,0,0
2017,3,1000 100,64051000,#NAME?,Germany,5,2UN,4.00 ,3.5,"5,247.18",216.67,0,0
2017,7,1000 100,64051000,#NAME?,Poland,5,2UN,4.00 ,3.5,"6,521.01",269.28,0,0
2017,7,1000 100,62149000,"SHAWLS, SCARVES, MUFFLERS, MANTILLAS, VEILS, ETC, OF OTHER TEXTILES MATERIALS",France,25,UN,7.50 ,3.5,"7,779.60",321.25,0,0
2017,12,1000 100,52083900,#NAME?,United States,1,M,4.00 ,3.5,645.6,26.66,0,0
2017,9,1000 100,71031000,#NAME?,Hong Kong,,,4.61 ,3.77,"750,482.68",30990.04,0,0
2017,10,1000 100,71162010,---PRECIOUS OR SEMI-PRECIOUS STONES ;HAND MADE,United States,,,3.82 ,3.82,"50,252.81",2075.11,0,0
2017,9,1000 100,71031000,#NAME?,Thailand,,,5.39 ,3.97,"895,087.68",36961.28,0,0
2017,8,1000 100,97019000,#NAME?,India,10,UN,4.00 ,4,"2,343.64",96.78,0,0
2017,4,1000 100,95049000,#NAME?,United Kingdom,1,UN,4.00 ,4,183.96,7.6,0,0
2017,5,1000 100,85167900,#NAME?,United States,1,UN,5.00 ,4,115.88,4.79,0,0
2017,8,1000 100,73239400,"Table, kitchen or household articles... of iron or steel, enamelled",Germany,20,UN,7.00 ,4,469.17,19.37,0,0
2017,12,1000 100,71031000,#NAME?,Spain,,,4.40 ,4,"16,479.36",680.49,0,0
2017,5,1000 100,66020090,#NAME?,Russian Federation,17,UN,5.00 ,4,"1,176.75",48.59,0,0
2017,6,1000 100,64051000,#NAME?,United Kingdom,6,2UN,5.00 ,4,"7,203.24",297.45,0,0
2017,7,1000 100,64051000,#NAME?,Australia,6,2UN,5.00 ,4,"7,385.80",304.99,0,0
2017,8,1000 100,64051000,#NAME?,Austria,6,2UN,5.00 ,4,"7,265.27",300.01,0,0
2017,9,1000 100,64051000,#NAME?,Australia,6,2UN,5.00 ,4,"5,749.80",237.43,0,0
2017,11,1000 100,64051000,#NAME?,Australia,6,2UN,5.00 ,4,"4,543.21",187.6,0,0
2017,11,1000 100,64051000,#NAME?,Uganda,2,2UN,5.00 ,4,984.04,40.63,0,0
2017,2,1000 100,63025900,"Table linen of other textiles, nes (excl. knitted or crocheted)",United States,4,UN,5.00 ,4,"1,368.67",56.52,0,0
2017,4,1000 100,62149000,"SHAWLS, SCARVES, MUFFLERS, MANTILLAS, VEILS, ETC, OF OTHER TEXTILES MATERIALS",France,48,UN,14.50 ,4,"14,008.73",578.47,0,0
2017,8,1000 100,62149000,"SHAWLS, SCARVES, MUFFLERS, MANTILLAS, VEILS, ETC, OF OTHER TEXTILES MATERIALS",Sweden,26,UN,5.00 ,4,"13,750.77",567.82,0,0
2017,8,1000 100,61142000,#NAME?,United States,,,5.00 ,4,"5,859.10",241.94,0,0
2017,5,1000 100,46021990,#NAME?,Russian Federation,5,UN,5.00 ,4,"1,153.68",47.64,0,0
2017,6,1000 100,46019400,#NAME?,Spain,,,7.00 ,4,"1,891.02",78.09,0,0
2017,7,1000 100,46019400,#NAME?,Germany,,,6.00 ,4,322.78,13.33,0,0
2017,4,1000 100,44219090,#NAME?,United Kingdom,1,UN,4.00 ,4,229.96,9.5,0,0
2017,8,1000 100,41139000,#NAME?,India,,,9.00 ,4,"1,874.38",77.4,0,0
2017,4,1000 100,13019000,"NATURAL GUMS,RESINS,GUM-RESINS,NATURAL OLEOR'INS/BALSAMS (EXCL. GUMARABIC)",Australia,,,4.00 ,4,629.33,25.99,0,0
2017,1,1000 100,9109900,"Other spices, nes",Germany,,,5.00 ,4,328.69,13.57,0,0
2017,9,1000 100,9023000,"BLACK TEA FERMENTED/PARTLY FERMENTED,FLAVOURED OR NOT,IN PACKINGS OF <=3KG",United States,,,8.00 ,4,"1,141.00",47.12,0,0
2017,10,1000 100,9022000,"Green tea,whether or not flavoured, nes",United States,,,4.00 ,4,816.17,33.7,0,0
